Date,Site,Flight origin,Destination,Fatalities,Injuries,Survivors
25-May-79,42.00972; -87.92917,41.97861; -87.90472,"Los Angeles International AirportLos Angeles, California, U.S.",271,,0
"May30,1979(1979-05-30)",44.02; -69.06,42.36306; -71.00639,44.06000; -69.09917,17,1,1
17-Jun-79,41.6904500; -70.2419306,40.777250; -73.872611,41.66944; -70.28028,1 (Pilot)[2],4 or 5,9
11-Jul-79,3.23917; 98.50556,"Talang Betutu AirportPalembang, Indonesia",3.26472; 98.68000,61,,0
31-Jul-79,59.8820; -1.2848,59.88139; -1.29389,57.20250; -2.19806,17,0,30
11-Aug-79,48.588194; 34.655972,48.00278; 37.80528,53.900; 27.567,84,,0
29-Aug-79,52.52500; 42.60000,46.485722; 30.743444,"Kazan Airport, Kazan, Tatar ASSR, Russian SFSR",63,,0
7October1979(1979-10-07),37.87389; 23.74083,Genève-Cointrin Airport,37.89833; 23.72944,14,10[1],140
31October1979(1979-10-31),19.43639; -99.07222,"Los Angeles Int'l AirportLos Angeles, California, United States",19.43611; -99.07194,72,14,16
15-Nov-79,,41.97861; -87.90472,38.85222; -77.03778,0,12,78 (all)
26November1979(1979-11-26),21.54333; 39.17278,12.04861; 8.52222,24.90667; 67.16083,156,,0
28-Nov-79,-77.42500; 167.45833,-37.00806; 174.79167,,257,,0
23-Dec-79,40.32947; 33.15708,41.29028; 36.33361,40.12806; 32.99500,41,4,4
"January21,1980(1980-01-21)",35.733; 51.417,"Mashhad Airport (MHD/OIMM), Iran","Tehran-Mehrabad Airport (THR/OIII), Iran",128,,0
21-Feb-80,-33.94611; 151.17722,-33.94611; 151.17722,-34.43333; 147.53333,13,,0
14March1980(1980-03-14),52.233; 21.017,40.63972; -73.77889,52.16583; 20.96722,87,,0
"April12,1980(1980-04-12)",-27.61222; -48.48528,-23.43556; -46.47306,-27.67028; -48.55250,55,3,3
25-Apr-80,28.39806; -16.41806,53.35389; -2.27500,28.48278; -16.34167,146,,0
27-Apr-80,"15 km north east of Bangkok, Thailand",16.4666278; 102.7836611,13.91250; 100.60667,44,9,9
"June12,1980(1980-06-12)",41.38194; -96.34500,"Outagamie County Regional Airport (ATW/KATW) near Appleton, Wisconsin",Lincoln Municipal Airport (LNK/KLNK),13,2,2
27-Jun-80,"Tyrrhenian Seanear Ustica, Italy",44.535444; 11.288667,38.18194; 13.09944,81,,0
8-Jul-80,"Almaty, Kazakh SSR, Soviet Union",43.35528; 77.04472,45.05194; 33.97361,166,,0
19-Aug-80,"Riyadh International AirportRiyadh, Saudi Arabia",24.71167; 46.72694,21.7341; 39.0829,301,,0
12-Sep-80,26.650; -78.317,26.68306; -80.09556,26.52861; -78.69667,34,,0
3-Nov-80,"Simon Bolivar Int'l AirportCaracas, Venezuela",Caracas,N/A,4,0,0
19November1980(1980-11-19),37.55806; 126.79056,33.94250; -118.40806,37.55806; 126.79056,15,4,211
22-Dec-80,25.500; 51.250,26.267; 50.150,24.90667; 67.16083,2,7,290
28-Mar-81,13.91250; 100.60667,-6.14722; 106.85000,"Polonia Airport, Medan","5 (3 hijackers, 1 commando, and the pilot)",2,46
2 May 1981(1981-05-02),51.47750; -0.46139,53.42139; -6.27000,51.47750; -0.46139,0,,113
7-May-81,-34.55889; -58.41639,-26.84083; -65.10472,-34.55889; -58.41639,31,,0
14June1981(1981-06-14),53.617; 108.733,56.167; 113.583,51.80750; 107.44028,48,,0
26-Jun-81,52.6694; -1.3702,51.14806; -0.19028,52.83111; -1.32778,3,,0
20-Jul-81,2.650; 45.050,2.05250; 45.32472,9.56306; 44.06750,50,,0
27-Jul-81,28.70278; -105.96167,Monterey-General Mariano Escobedo International Airport,28.70278; -105.96167,"32  (30 passengers, 2 crew)",34,34
13-Aug-81,52.933; 1.767,,,13,,0
22August1981(1981-08-22),"Near Sanyi Township, Miaoli County, Taipei",25.06944; 121.55167,22.57694; 120.35000,110,,0
24-Aug-81,50.01944; 130.46667,50.19167; 129.50333,50.19167; 129.50333,6,1,0
26-Aug-81,"Cerro Matiqui, Colombia",1.58889; -75.56389,2.9344833; -75.2809000,50,,0
6-Oct-81,51.700; 4.517,51.95694; 4.44028,53.63028; 9.99111,17,,0
17 November 1981(1981-11-17),"Noril'sk, Russian Soviet Federative Socialist Republic, Soviet Union",56.17167; 92.49333,Noril'sk Airport,99,,68
1-Dec-81,"Mont San-Pietro, near Ajaccio, Corsica, France",46.22444; 14.45611,41.92389; 8.80250,180,,0
"January13,1982(1982-01-13)",38.87389; -77.04278,38.85222; -77.03778,26.07250; -80.15278,74,5,5
23-Jan-82,42.35083; -70.98972,40.69250; -74.16861,42.36306; -71.00639,2 (presumed drowned),,210
9-Feb-82,35.53729; 139.78244,33.58444; 130.45167,35.55333; 139.78111,24,,150
11-Mar-82,71.01694; 28.35000,69.72500; 29.88778,69.97611; 23.37167,15,,0
20-Mar-82,Tanjung Karang-Branti Airport,,,27,,0
26-Mar-82,4.33028; -73.86278,3.573139; -73.078667,4.70139; -74.14694,21,,0
26-Apr-82,24.6301; 110.64,23.39250; 113.29889,25.19444; 110.31972,112,,0
8-Jun-82,"Serra da Aratanha,near Pacatuba, Ceará, Brazil","Congonhas AirportSão Paulo, Brazil",-3.77583; -38.53222,137,,0
12-Jun-82,-4.25694; -69.93778,-6.66000; -69.87389,-4.25694; -69.93778,44,,0
21-Jun-82,19.08861; 72.86806,2.74333; 101.69806,"Sahar International Airport, Bombay (now Mumbai)",17,,94
24June1982(1982-06-24),-7.25667; 108.07694,51.47750; -0.46139,-37.00806; 174.79167,0,0,263
28-Jun-82,"Near Mozyr, Belarussian SSR, Soviet Union",52.05000; 29.2667000,"Kyiv-Zhuliany International Airport, Kiev, Ukrainian SSR, Soviet Union",132,,0
6-Jul-82,55.55333; 38.15167,55.750; 37.617,8.48444; -13.23444,90,0,
9-Jul-82,29.98750; -90.23556,25.79333; -80.29056,San Diego Int’l Airport,145,,0
11-Aug-82,19.82056; -155.46806,35.76528; 140.38556,33.94250; -118.40806,1,16,273
1-Sep-82,40.650; 8.383,"Zumba Airport (SEZP), Ecuador","Loja Airport (LOH/SELO), Ecuador",44,,0
13-Sep-82,36.66333; -4.48417,,,50,110,344[1]
29September1982(1982-09-29),49.62333; 6.20444,55.97278; 37.41472,-12.02194; -77.11444,7,70,70
9-Dec-82,-29.900; -71.250,"Los Cerrillos Airport, Santiago, Chile",-23.650; -70.400,46,0,0
24-Dec-82,23.1834444; 113.2680861,36.51500; 103.62000,23.18722; 113.26806,25,26,44
"January11,1983(1983-01-11)",42.2116889; -83.3700306,41.41167; -81.84972,33.94250; -118.40806,3,,0
16-Jan-83,40.113000; 32.98000,48.72333; 2.37944,40.12806; 32.99500,47,20,20
11-Mar-83,10.06361; -69.33472,10.60306; -66.99056,10.06361; -69.33472,23,,27
5-May-83,,25.79333; -80.29056,25.03889; -77.46611,0,0,172
2-Jun-83,39.04889; -84.66778,32.89694; -97.03806,45.47056; -73.74083,23,16,23
8-Jun-83,"Pacific Ocean near Cold Bay, Alaska",55.20917; -162.71417,47.44889; -122.30944,0,0,15
1July1983(1983-07-01),"near Labé, Guinea",39.22389; 125.67000,9.5768889; -13.6119611,23,,0
11 July 1983[1],"Cuenca, Ecuador 2°51'55.3""S 78°56'59.5""W",-0.1133; -78.3586,-2.88944; -78.98472,119,0,0
16-Jul-83,49.9233; -6.2483,50.12806; -5.51833,"St Mary's Aerodrome, Isles of Scilly",20,...,6
23-Jul-83,50.62889; -97.04389,45.47056; -73.74083,53.31000; -113.57944,0,"10 (minor, during evacuation)",69 (all)
30-Aug-83,43.1689000; 76.6981000,"Chelyabinsk Airport (CEK/USCC), Chelyabinsk, Russian SFSR, Soviet Union","Alma-Ata Airport (ALA/UAAA), Kazakh SSR, Soviet Union",90,,0
1-Sep-83,46.567; 141.283,40.63972; -73.77889,37.55806; 126.79056,269,,0
14September1983(1983-09-14),25.19444; 110.31972,25.19444; 110.31972,40.07250; 116.59750,11,21,95
23-Sep-83,25.01126; 55.06116,24.86000; 67.01000,Abu Dhabi Int'l Airport,112,,0
11-Oct-83,38.2502; -89.3166,"Meigs Field, Chicago",37.77806; -89.25194,10,,0
8November1983(1983-11-08),"near Lubango, Angola",-14.917; 13.500,-8.85833; 13.23111,130,0,0
18-Nov-83,41.6691167; -44.9549889,Tbilisi-Novo Alexeyevka Airport (TBS/ UGGG),59.80028; 30.26250,8,,56
27-Nov-83,40.39667; -3.38583,50.03333; 8.57056,4.70139; -74.14694,181,11,11
7-Dec-83,40.47222; -3.56083,Madrid–Barajas Airport (MAD/LEMD),43.42694; -3.82000,42,,0
18December1983(1983-12-18),3.1534833; 101.5363833,1.35917; 103.98944,2.74333; 101.69806,0,,247
20-Dec-83,43.53639; -96.73167,42.40250; -96.38444,43.58194; -96.74194,1 (on the ground),2,86
24December1983(1983-12-24),64.89583; 45.72278,64.60000; 40.71667,64.89583; 45.72278,44,,5
10-Jan-84,42.70; 23.33,52.37861; 13.52056,42.69500; 23.40833,50,,0
28 February 1984(1984-02-28),41.72389; -71.42833,59.65194; 17.91861,40.63972; -73.77889,0,12,177
22March1984(1984-03-22),51.050; -114.067,51.12250; -114.01333,53.31000; -113.57944,0,27,119
5-Aug-84,23.84278; 90.40056,22.2359795; 91.7868103,23.84278; 90.40056,49,0,0
30-Aug-84,4.00583; 9.71944,,,2,Unknown,114
18September1984(1984-09-18),-0.233; -78.517,25.79333; -80.29056,-2.15750; -79.88361,4,,0
11-Oct-84,"Omsk, Russian SFSR, Soviet Union",45.03472; 39.17056,55.01250; 82.65056,178 (including 4 on the ground),5,5
6-Dec-84,30.49417; -81.68778,30.49417; -81.68778,27.97556; -82.53333,13,0,0
"December23,1984(1984-12-23)",56.1717000; 92.4933000,56.17167; 92.49333,52.26806; 104.38889,110,1,1
1-Jan-85,-16.63333; -67.79083,-25.23972; -57.51917,25.79333; -80.29056,29,,0
21-Jan-85,39.465281; -119.782223,39.49917; -119.76806,44.88194; -93.22167,70,1,1 (George Lamson Jr.)
1-Feb-85,,"Minsk-2 International Airport (MSQ/UMMS), Byelorussian SSR",Leningrad-Pulkovo Airport (LED/ULLI) Russian SSR,58,,22
19-Feb-85,37.65611; -122.42556,25.07639; 121.22389,33.94250; -118.40806,0,24 (2 serious),274 (all)
19February1985(1985-02-19),43.22861; -2.59000,40.47222; -3.56083,43.30111; -2.91056,148,,0
3-May-85,49.8407944; 24.8645528,49.8407944; 24.8645528,"Chişinău, Moldavian SSR, Soviet Union",15,,0
14-Jun-85,Greek airspace,30.12194; 31.40556,32.73361; -117.18972,1,,146
21-Jun-85,59.883; 10.617,63.45750; 10.92417,59.883; 10.617,0,0,121
23 June 1985(1985-06-23),51.0600; -12.817,51.0600; -12.817,19.08861; 72.86806,329,,0
10-Jul-85,42.15667; 63.55556,38.80333; 65.77333,59.80028; 30.26250,200,,
2-Aug-85,32.91833; -97.02361,26.07250; -80.15278,33.94250; -118.40806,136,27,27[b]
12-Aug-85,36.00139; 138.69389,35.55333; 139.78111,34.78444; 135.43917,520,4,4
"22 August 1985, 07:13 BST",53.34583; -2.29333,53.35389; -2.27500,39.60194; 19.91167,"55 (54 on site, 1 subsequently in hospital (53 passengers, 2 crew))",15 (serious),82
25-Aug-85,44.03250; -70.29222,42.36306; -71.00639,44.80722; -68.82806,8,,0
4-Sep-85,33; 65,31.50583; 65.84778,32.34361; 62.11944,52,,0
6-Sep-85,42.9273222; -87.90167,42.94722; -87.89667,33.63667; -84.42806,31,,0
23-Sep-85,38.26750; -78.82500,39.17528; -76.66833,38.26389; -78.89639,14,,0
23–24 November 1985,35.85750; 14.47750,Athens (Ellinikon) Int'l Airport,30.12194; 31.40556,60 (including 2 hijackers),Several,38 (including 1 hijacker)
12-Dec-85,48.91194; -54.57417,30.12194; 31.40556,36.650; -87.467,256,,0
19-Dec-85,,62.033; 129.733,52.283; 104.283,0,,51
18-Jan-86,16.92972; -89.89167,14.58167; -90.52667,"Santa Elena Airport, Flores, Guatemala",93,0,0
31-Mar-86,19.834778; -100.307583,19.43611; -99.07194,33.94250; -118.40806,167,,0
2-Apr-86,37.617; 22.717,33.94250; -118.40806,30.12194; 31.40556,4,7[3],118[2]
3May1986(1986-05-03),7.18111; 79.88361,51.14806; -0.19028,"Ibrahim Nasir International Airport (MLE/VRMM), Malé, Maldives",21,41,127
"May 3, 1986(1986-05-03)",23.132; 113.266,1.35917; 103.98944,25.07639; 121.22389,0,,3
18-Jun-86,36.0552608; -112.1218355,35.97556; -112.12917,35.97556; -112.12917,5 (all),,0
2-Jul-86,61.200; 49.817,67.500; 64.033,55.97278; 37.41472,54,38,38
3-Aug-86,13.137335; -61.218879,13.73333; -60.95250,13.14444; -61.21083,13,,0
31-Aug-86,33.86833; -118.06750,"Zamperini FieldTorrance, California",34.24389; -116.91139,3,,0
5-Sep-86,24.90667; 67.16083,"Sahar International AirportMumbai, India"," John F. Kennedy Int'l AirportNew York, United States",At least 21[1],120,
20October1986(1986-10-20),53.50167; 50.15500,56.74139; 60.80361,43.3882000; 45.6996833,70,,24
6-Nov-86,59.8917; -1.200,60.900; 1.800,59.88139; -1.29389,45,2,2
12-Dec-86,,53.88250; 28.03250,52.37861; 13.52056,72,,10
25-Dec-86,30.983; 41.017,33.26250; 44.23444,31.72250; 35.99333,63,unknown,43
3-Jan-87,"Akouré, Côte d'Ivoire",5.261417; -3.925778,-22.81000; -43.25056,50,1,"1 (initially 3, one passenger died hours after and one passenger died four days later)"
15-Jan-87,40.78833; -111.97778,42.90972; -112.59583,40.78833; -111.97778,,,0
16-Jan-87,41.300; 69.267,41.257861; 69.2811861,39.050; 66.833,9,,0
4-Mar-87,42.22222; -83.39667,41.41167; -81.84972,42.21250; -83.35333,9,20 (10 on the ground),10
4-Apr-87,3.64222; 98.88528,5.52333; 95.42028,3.64222; 98.88528,23,22,22
"May 8, 1987(1987-05-08)",18.20111; -67.13972,18.43917; -66.00194,18.25556; -67.14833,2,4,4
9-May-87,52.233; 21.017,52.16583; 20.96722,37.61889; -122.37500,183,,0
"June 19, 1987, 11:22 local time",46.81472; 36.75806,46.42694; 30.67806,46.81472; 36.75806,8,,21
26-Jun-87,16.31917; 120.80167,14.58; 121,16.37500; 120.61944,50,,0
30-Jul-87,"Toluca - Mexico City highway, Cuajimalpa, Mexico City, Mexico",19.43611; -99.07194,26.07250; -80.15278,49 (44 on the ground),20 - 30 (at least 17 serious),7
16-Aug-87,42.2400; -83.3277,42.2400; -83.3277,33.67556; -117.86833,154,1,1
31-Aug-87,8.12778; 98.47111,6.93306; 100.39278,8.11306; 98.31667,83,,0
15-Oct-87,"Mount Crozza, Conca di Crezzo, Italy",45.44944; 9.27833,50.86583; 7.14278,37,,0
15-Nov-87,39.86167; -104.67306,39.86167; -104.67306,43.56444; -116.22278,"28 (25 passengers, 3 crew)",28,54
28November1987(1987-11-28),-19.17500; 59.63333,25.07639; 121.22389,"Jan Smuts International Airport, Johannesburg,South Africa",159[1],,0
29November1987(1987-11-29),14.55; 97.38,33.26250; 44.23444,37.55806; 126.79056,115,,0
7December 1987; 31 years ago(1987-12-07),35.52222; -120.85694,"Los Angeles International AirportLos Angeles, California, U.S.",37.783; -122.417,43 (including perpetrator and 5 shot before impact),,0
13-Dec-87,"near Iligan-Maria Cristina Airport, Philippines",10.30722; 123.97889,8.23; 124.25,15,,0
2-Jan-88,38.200; 26.833,48.69000; 9.22194,38.29056; 27.15528,16,,0
18-Jan-88,29.55833; 106.56667,40.07250; 116.59750,29.71917; 106.64167,108,,0
19-Jan-88,37.217; -107.683,39.86167; -104.67306,37.15139; -107.75389,9,,8
8-Feb-88,2.1km (1.3mi) north of Kettwig,52.46083; 9.68500,51.28944; 6.76667,21,,0
19-Feb-88,35.869; -78.810,35.87778; -78.78750,37.50500; -77.31944,12,0,0
4-Mar-88,48.4097; 2.7025,48.69222; 6.22611,48.72333; 2.37944,23,,0
17-Mar-88,7.89417; -72.50389,8.0837; -72.6925,8.0837; -72.6925,143,,0
"April 5–20, 1988",14; 65,13.75250; 100.49417,29.500; 47.750,2,,
28-Apr-88,20.88167; -156.46750,Hilo Int'l Airport (ITO),21.31861; -157.92250,1,65,94
6-May-88,65.3933; 12.0867,63.45750; 10.92417,63.45750; 10.92417,36,,0
24-May-88,30.0119; -89.9196,17.49861; -88.18861,29.99333; -90.25806,0,1,45
12-Jun-88,"Near Libertador General José de San Martín Airport, Posadas, Argentina",-34.55889; -58.41639,-27.38583; -55.97056,22,0,0
"June 26, 1988(1988-06-26)",47.74944; 7.42611,49.00972; 2.54778,47.59000; 7.52917,3,50,133 (136 initially)
3-Jul-88,26.567; 56.250,35.68917; 51.31361,25.25278; 55.36444,290,,0
13-Jul-88,"29nmi (54km; 33mi) northeast of Sumburgh, Scotland",Safe Felicia accommodation vessel,59.88139; -1.29389,0,0,21
31-Aug-88,22.32861; 114.19417,23.18722; 113.26806,22.32861; 114.19417,7,15,82
31-Aug-88,32.87028; -97.05111,31.47056; -87.89583,40.78833; -111.97778,14,76 (26 serious),94
9-Sep-88,"Near Semafahkarm Village, Tambon Khu Khot, Amphoe Lam Luk Ka, Pathum Thani, Thailand",21.21389; 105.80306,13.91250; 100.60667,76,,14
15-Sep-88,11.60472; 37.31972,8.97778; 38.79944,15.2918528; 38.9106667,31 or 35,,69 or 73
17October1988(1988-10-17),41.80028; 12.23889,51.14806; -0.19028,0.04472; 32.44306,33,,19
19-Oct-88,23.03; 72.58,,,133,2,2
2-Nov-88,50.10139; 22.32361,52.16583; 20.96722,50.11000; 22.01889,1,,28
21December1988(1988-12-21),55.11556; -3.35861,50.03333; 8.57056,42.21250; -83.35333,259,,0
8-Jan-89,52.83194; -1.299306,51.47750; -0.46139,54.65750; -6.21583,47,74,79 (71 passengers and all 8 crew)
8-Feb-89,36.981475; -25.091008,45.66889; 9.70028,18.533; -68.367,144,,0
19-Feb-89,12km (6.5nmi) from Kuala Lumpur,1.35917; 103.98944,22.3; 114.2,4,,0
"February24,1989(1989-02-24)",20.69; -158.676,34.057; -118.238,-33.94611; 151.17722,9,38,346
10 March 1989(10 March 1989),49.83889; -92.76694,49.83889; -92.76694,49.83889; -92.76694,24 (21 passengers; 3 crew members),45,45
7-Jun-89,5.85222; -55.20389,52.30806; 4.76417,"Johan Adolf Pengel Int'l AirportParamaribo, Suriname",176,11,11
"July19,1989(1989-07-19)",42.40806; -96.38389,39.760722; -104.891972,39.87194; -75.24111,112,172[1],184[1]
27July1989(1989-07-27),"On approach to runway 27 at Tripoli International Airport in Tripoli, Libya",37.55806; 126.79056,32.66944; 13.15667,75,,124
"August3,1989(1989-08-03)",37.750; 26.833,40.51972; 22.97083,37.69000; 26.91167,34,,0
25August1989(1989-08-25),35.2369083; 74.5900611,35.91861; 74.33361,"Islamabad International Airport (ISB/OPRN), Pakistan",54 (Presumed),,0 (Presumed)
3-Sep-89,23.13667; -82.35889,22.98917; -82.40917,50.86583; 7.14278,126,,0
3-Sep-89,-10.4445972; -52.6574722,São Paulo–Guarulhos Int'l Airport,-10.4445972; -52.6574722,13,34[1],41
8-Sep-89,"18km north of Hirtshals, Denmark",59.883; 10.617,53.63028; 9.99111,55,,0
19-Sep-89,16.86493; 11.953712,-4.25167; 15.25306,49.00972; 2.54778,170,,0
20-Sep-89,40.776; -73.885,40.777250; -73.872611,35.21389; -80.94306,2,21,61
21-Oct-89,13.94521; -87.24084,9.99389; -84.20889,14.06167; -87.21694,131,15 (20 initially),15
26-Oct-89,"Chiashan mountain range near Hualien Airport, Taiwan",24.02306; 121.61778,25.06944; 121.55167,54,,0
27-Nov-89,4.55833; -74.26250,4.55833; -74.26250,3.54167; -76.38194,107,,0
15-Dec-89,60.48528; -152.74306,52.30806; 4.76417,35.76528; 140.38556,0,0,245
26December1989(1989-12-26),"Tri-Cities Airport, Pasco, Washington, United States",47.44889; -122.30944,46.2646778; -119.119028,6,,0
4-Jan-90,30.633; -83.400,25.79333; -80.29056,44.88194; -93.22167,0,,145
15-Jan-90,9.883; -84.183,9.99389; -84.20889,8.95139; -83.46833,23,,0
25-Jan-90,40.88000; -73.49528,4.70139; -74.14694,40.63972; -73.77889,73,85,85
14February1990(1990-02-14),12.9481; 77.6478,19.08861; 72.86806,12.95000; 77.66833,92,54 (22 serious),54
9-Apr-90,34.01000; -86.01028,34.01000; -86.01028,34.01000; -86.01028,2,,7 (all)
12-Apr-90,67.683; 12.667,67.68833; 12.68167,67.26917; 14.36528,5,,0
11-May-90,14.50861; 121.01944,14.50833; 121.01972,10.72; 122.57,8,,112
10-Jun-90,51.606; -1.241,52.45389; -1.74806,36.67500; -4.49917,0,"2 (1 minor, 1 serious)",87 (all)
2-Oct-90,23.1872; 113.2680,23.39250; 113.29889,31.19806; 121.33639,0,1,1 (all)
"November14,1990(1990-11-14)",47.54722; 8.44750,45.44833; 9.27667,47.367; 8.550,46,,0
"December3,1990(1990-12-03)",42.21250; -83.35333,42.21250; -83.35333,35.04250; -89.97667,0,0,154
1-Feb-91,"Los Angeles International Airport LAXLos Angeles, CaliforniaUnited States",33.94250; -118.40806,34.62944; -118.08444,12 (all),"29 (12 serious, 17 minor)",0
3March1991(1991-03-03),"Widefield Park, El Paso Countynear Colorado Springs, Colorado,United States",40.66417; -89.69333,38.80583; -104.70083,25,,0
5-Mar-91,"near La Valesa, Venezuela",10.55833; -71.72778,"Santa Barbara Ed-L Delicias Airport, Venezuela",45,,0
26-Mar-91,,3.13111; 101.54806,1.35917; 103.98944,4 (hijackers),2,"123 (all, excluding hijackers)"
"April5, 1991; 27 years ago(1991-04-05)",31.259667; -81.509500,33.63667; -84.42806,31.25889; -81.46639,23,,0
26May1991(1991-05-26),14.4918; 100.0022,22.32861; 114.19417,48.11083; 16.57083,223,,0
10-Jul-91,33.50278; -86.87444,30.69139; -88.24278,33.56389; -86.75222,13,2,2
11-Jul-91,21.63694; 39.17306,21.67944; 39.15667,12.91611; 5.20694,261,,0
16-Aug-91,24.82000; 93.95000,,,69,,0
"September11,1991(1991-09-11)",29.3098; -96.2321,27.48611; -99.50694,29.98444; -95.34139,14,,0
27-Dec-91,59.76833; 18.13194,59.65194; 17.91861,52.16583; 20.96722,0,"92 (8 serious, 84 minor)",129
29-Dec-91,25.16750; 121.63944,25.07639; 121.22389,61.17417; -149.99833,5,,0
3January1992(1992-01-03),"near Gabriels, New York",44.65083; -73.46806,40.69250; -74.16861,2,,2
20-Jan-92,48.427361; 7.405139,45.72556; 5.08111,48.54194; 7.63444,"87 (82 passengers, 5 crew members)","9 (5 serious, 4 minor)","9 (8 passengers, 1 crew member)"
22-Mar-92,40.7709889; -73.8548528,40.777250; -73.872611,41.41167; -81.84972,"27 (25 passengers, 2 crew)",21,"24 (22 passengers, 2 crew)"
6-Jun-92,7.9830806; -77.9333778,9.07139; -79.38361,3.54167; -76.38194,47,,0
"June 7, 1992(1992-06-07)",18.20111; -67.13972,18.43917; -66.00194,18.25556; -67.14833,5,,0
8-Jun-92,33.66111; -85.83333,33.63667; -84.42806,"Anniston Metropolitan Airport; Anniston, Alabama",3,,3
24-Jul-92,"Mt. Lalaboy, Indonesia",-5.06167; 119.55417,"Pattimura Airport, Ambon, Indonesia",70,,0
30-Jul-92,40.63972; -73.77889,40.661043; -73.829455,37.61889; -122.37500,0,10,292
31July1992(1992-07-31),28.1738; 85.5531,13.91250; 100.60667,27.69639; 85.35889,113,,0
31July1992(1992-07-31),near Nanjing Dajiaochang Airport,31.99833; 118.81389,24.54417; 118.12778,108,18,18
27-Aug-92,56.92472; 40.98889,44.22500; 43.08194,56.94167; 40.93333,84,,0
28September1992(1992-09-28),27.53278; 85.28472,24.90667; 67.16083,27.69639; 85.35889,167,,0
4-Oct-92,52.31056; 4.97333,40.63972; -73.77889,32.00944; 34.88278,4,,0
18-Oct-92,-6.750; 107.500,-6.97139; 110.37417,-6.90056; 107.57639,31,,0
14-Nov-92,"Near Son Trung, Vietnam",10.81889; 106.65194,12.22750; 109.19250,30,,1
24-Nov-92,"12.5mi (20.1km) south of Guilin Airport, China",23.39250; 113.29889,25.19444; 110.31972,141,,0
21December1992(1992-12-21),37.033; -7.917,52.30806; 4.76417,37.01444; -7.96583,56,106,284
22-Dec-92,32.88722; 13.19139,32.09722; 20.26944,32.66944; 13.15667,0,,2 (all)
6-Jan-93,49.00972; 2.54778,53.04750; 8.78667,49.00972; 2.54778,4,19,19
8-Feb-93,35.72139; 51.10889,35.68917; 51.31361,35.68917; 51.31361,2 (all),,
11-Feb-93,40.63972; -73.77889,50.03333; 8.57056,9.03000; 38.74000,0,0,104
5-Mar-93,41.96111; 21.62694,41.96111; 21.62694,47.46472; 8.54917,83,14,14
6-Apr-93,53.5; -167.0,31.19806; 121.33639,34.057; -118.238,2,156,253
18-Apr-93,39.42861; 141.13528,35.25500; 136.92444,42.77528; 141.69250,0,19,77
26-Apr-93,19.88; 75.32,,,55,63,63
19-May-93,"Mt. Paramo Frontino, near Medellín, Colombia",9.07139; -79.38361,4.70139; -74.14694,132,,0
1-Jul-93,"Near Jefman Airport, Sorong, West Papua, Indonesia",-3.70500; 128.17000,-0.89417; 131.28889,41,2,2
23-Jul-93,38.467; 106.267,38.32167; 106.39250,40.07250; 116.59750,55,,58
"July26,1993(1993-07-26)",34.7085167; 126.3107389,37.55806; 126.79056,34.7085167; 126.3107389,68,,48
28August1993(1993-08-28),,37.49167; 71.55583,38.53667; 68.78000,82,,4
14-Sep-93,52.233; 21.017,,,2,68,68
20–23 September 1993,44; 35,42.85806; 41.12806,41.66917; 44.95472,1,,29
20–23 September 1993,44; 35,42.85806; 41.12806,41.66917; 44.95472,1,,29
26-Oct-93,25.9; 118.3,,,2,10,78
27-Oct-93,64.48889; 11.70833,63.45750; 10.92417,64.46667; 11.60000,6,,13
4-Nov-93,22.3183; 114.1976,"Chiang Kai-shek International Airport, Taipei, Republic of China",22.32861; 114.19417,0,23,396
13-Nov-93,43.90722; 87.47417,,,12,60,90
20-Nov-93,41.18000; 20.74222,46.23833; 6.10944,41.96111; 21.62694,116,0,0
"December1,1993(1993-12-01)",47.42250; -92.89972,44.88194; -93.22167,43.10722; -78.94611,18,,0
3January1994(1994-01-03),52.283; 104.283,52.26806; 104.38889,55.40861; 37.90611,124,,0
"January7,1994(1994-01-07)",39.992167; -82.847167,38.94444; -77.45583,39.99806; -82.89194,5,,3
24-Feb-94,"Near Nalchik, Kabardino-Balkaria, Russia",59.80028; 30.26250,"Nalchik Airport, Kabardino-Balkaria",13,,
23March1994(1994-03-23),53.500; 88.250,55.97278; 37.41472,22.32861; 114.19417,75,,0
4-Apr-94,52.30806; 4.76417,52.30806; 4.76417,51.39667; -3.34333,3,9,21
"April7,1994(1994-04-07)",35.11750; -89.97111,35.04250; -89.97667,37.36278; -121.92917,,4 (serious),4
26-Apr-94,35.2453; 136.9323,25.07639; 121.22389,34.85833; 136.80528,264,7,7
6-Jun-94,34.267; 108.900,34.437806; 108.756556,23.39250; 113.29889,160,,0
1-Jul-94,18.550; -11.433,18.31000; -15.96972,18.550; -11.433,80,,13
2-Jul-94,35.2177417; -80.9593250,33.93889; -81.11944,35.21389; -80.94306,37[1],16[1],20
19-Jul-94,9.35722; -79.89861,9.35667; -79.86750,9.07139; -79.38361,21,,
21August1994(1994-08-21),30.60000; -9.31667,Agadir-Al Massira International Airport (AGA/GMAA),33.36722; -7.58972,44,,0
"September8,1994(1994-09-08)",40.60393; -80.31026,41.97861; -87.90472,26.133; -80.200,132,,0
26-Sep-94,"Vanavary, Evenki Autonomous District, Krasnoyarsk Krai, Russia",59.883; 91.667,"Tura Airport, Krasnoyarsk Krai, Russia",28,,0
12-Oct-94,33.51333; 51.91639,32.75083; 51.86111,35.68917; 51.31361,66,,0
